name_kr,name_en,tradingview_market_code,tradingview_upbit_code,upbit_stock_code,unable_marketwidget
에이브,Aave,GEMINI:AAVEUSD,UPBIT:AAVEKRW,KRW-AAVE,FALSE
엑시인피니티,Axie Infinity,BINANCE:AXSUSD,UPBIT:AXSKRW,KRW-AXS,FALSE
엔진코인,Enjin,BINANCE:ENJUSD,UPBIT:ENJKRW,KRW-ENJ,FALSE
엘프,aelf,BINANCE:ELFUSD,UPBIT:ELFKRW,KRW-ELF,FALSE
엠블,MVL,CRYPTO:MVLUSD,UPBIT:MVLKRW,KRW-MVL,TRUE
오미세고,OmiseGo,BINANCE:OMGUSD,UPBIT:OMGKRW,KRW-OMG,FALSE
오브스,Orbs,BITTREX:ORBSUSD,UPBIT:ORBSKRW,KRW-ORBS,FALSE
온톨로지,Ontology,BINANCE:ONGUSD,UPBIT:ONTKRW,KRW-ONT,FALSE
온톨로지가스,ONG,BINANCE:ONTUSD,UPBIT:ONGKRW,KRW-ONG,FALSE
왁스,WAX,BITTREX:WAXPUSD,UPBIT:WAXPKRW,KRW-WAXP,FALSE
웨이브,Waves,BITTREX:WAVESUSD,UPBIT:WAVESKRW,KRW-WAVES,FALSE
이더리움,Ethereum,BINANCE:ETHUSD,UPBIT:ETHKRW,KRW-ETH,FALSE
이더리움클래식,Ethereum Classic,BINANCE:ETCUSD,UPBIT:ETCKRW,KRW-ETC,FALSE
이오스,EOS,BINANCE:EOSUSD,UPBIT:EOSKRW,KRW-EOS,FALSE
이캐시,eCash,HITBTC:XECUSD,UPBIT:XECKRW,KRW-XEC,FALSE
저스트,JUST,BITFINEX:JSTUSD,UPBIT:JSTKRW,KRW-JST,TRUE
제로엑스,0x Protocol or 0x,BINANCE:ZRXUSD,UPBIT:ZRXKRW,KRW-ZRX,FALSE
질리카,Zilliqa,BINANCE:ZILUSD,UPBIT:ZILKRW,KRW-ZIL,FALSE
체인링크,Chainlink,BINANCE:LINKUSD,UPBIT:LINKKRW,KRW-LINK,FALSE
