,market,korean_name,english_name
253,KRW-NU,누사이퍼,Nucypher
254,BTC-NU,누사이퍼,Nucypher
255,KRW-AAVE,에이브,Aave
256,KRW-1INCH,1인치네트워크,1inch Network
257,BTC-AAVE,에이브,Aave
258,BTC-1INCH,1인치네트워크,1inch Network
259,BTC-MASK,마스크네트워크,Mask Network
260,KRW-ALGO,알고랜드,Algorand
261,BTC-AUDIO,오디우스,Audius
262,KRW-NEAR,니어프로토콜,NEAR Protocol
263,BTC-YGG,일드길드게임즈,Yield Guild Games
264,BTC-GTC,깃코인,Gitcoin
265,BTC-OCEAN,오션프로토콜,Ocean Protocol
266,BTC-CTC,크레딧코인,Creditcoin
267,BTC-LPT,라이브피어,Livepeer
268,KRW-AVAX,아발란체,Avalanche
269,BTC-AVAX,아발란체,Avalanche
270,BTC-IMX,이뮤터블엑스,Immutable X
271,BTC-RNDR,렌더토큰,Render Token
272,BTC-RLY,랠리,Rally
273,KRW-T,쓰레스홀드,Threshold
274,BTC-T,쓰레스홀드,Threshold
275,KRW-CELO,셀로,Celo
276,BTC-RAD,래디클,Radicle
277,BTC-AGLD,어드벤처골드,Adventure Gold
278,BTC-API3,에이피아이쓰리,API3
279,BTC-ARPA,알파,ARPA
280,BTC-ENS,이더리움네임서비스,Ethereum Name Service
281,KRW-GMT,스테픈,Stepn
282,BTC-GMT,스테픈,Stepn
283,BTC-APE,에이프코인,ApeCoin
284,BTC-RAY,레이디움,Raydium
285,KRW-APT,앱토스,Aptos
286,BTC-APT,앱토스,Aptos
287,BTC-ACM,AC밀란,AC Milan Fan Token
288,BTC-AFC,아스날,Arsenal Fan Token
289,BTC-ATM,아틀레티코마드리드,Atletico De Madrid Fan Token
290,BTC-BAR,FC바르셀로나,FC Barcelona Fan Token
291,BTC-CITY,맨체스터시티,Manchester City Fan Token
292,BTC-INTER,인터밀란,Inter Milan Fan Token
293,BTC-NAP,나폴리,Napoli Fan Token
294,KRW-SHIB,시바이누,Shiba Inu
295,BTC-GAL,갤럭시,Galxe
