open,high,low,close,volume,ma,rsi,macd,macdsignal,BB_upper,BB_lower
29756000.0,29950000.0,29250000.0,29810000.0,1630.59441122,,,,,,
29810000.0,29910000.0,29501000.0,29605000.0,496.02221057,,,,,,
29595000.0,29648000.0,29338000.0,29579000.0,714.79051435,,,,,,
29579000.0,29660000.0,29500000.0,29543000.0,1224.62044115,,,,,,
29532000.0,29582000.0,29170000.0,29263000.0,969.20080252,29560000.0,,,,,
29263000.0,29430000.0,29200000.0,29392000.0,930.81293792,29476400.0,,,,,
29402000.0,29571000.0,29221000.0,29529000.0,1213.79927665,29461200.0,,,,,
29533000.0,29584000.0,29307000.0,29363000.0,300.73025931,29418000.0,,,,,
29359000.0,29495000.0,29000000.0,29023000.0,862.13026394,29314000.0,,,,,
29018000.0,29320000.0,28943000.0,29100000.0,1879.13507121,29281400.0,,,,,
29099000.0,29162000.0,28926000.0,28937000.0,1262.51594523,29190400.0,,,,,
28933000.0,29063000.0,28849000.0,28952000.0,1369.88390466,29075000.0,,,,,
28952000.0,29164000.0,28860000.0,28961000.0,808.27116376,28994600.0,,,,,
28961000.0,29018000.0,28050000.0,28062000.0,1450.42958381,28802400.0,,,,,
28062000.0,28108000.0,27415000.0,27604000.0,3071.64055767,28503200.0,12.482993197278912,,,,
27604000.0,27605000.0,26707000.0,27102000.0,3272.41905609,28136200.0,10.54411244695898,,,,
27103000.0,27127000.0,26802000.0,26996000.0,1476.77130214,27745000.0,10.184400656814448,,,,
26996000.0,27101000.0,26707000.0,26860000.0,1588.38443448,27324800.0,9.72594818160851,,,,
26869000.0,27492000.0,26751000.0,27091000.0,2071.96470161,27130600.0,16.59371261996332,,,,
27091000.0,27400000.0,26895000.0,27052000.0,666.83518327,27020200.0,16.367317391279347,,,30661383.431486204,26521016.568513796
27056000.0,27399000.0,26888000.0,27343000.0,654.25756266,27068400.0,24.630243735989662,,,30526807.14137036,26408892.85862964
27341000.0,28023000.0,27308000.0,27682000.0,2146.13663632,27205600.0,32.94211994072629,,,30388433.804943033,26354966.195056967
27682000.0,27682000.0,26929000.0,26974000.0,1340.83904512,27228400.0,26.395101855806885,,,30265938.426738963,26216961.573261037
26971000.0,27462000.0,26870000.0,27322000.0,1106.4260677,27274600.0,33.401387616492414,,,30100043.66320408,26160756.33679592
27322000.0,27500000.0,27256000.0,27343000.0,831.84910671,27332800.0,33.81083000294795,,,29960555.590807762,26108244.409192238
27363000.0,27622000.0,27249000.0,27453000.0,324.8585016,27354800.0,36.02936534972385,,,29773605.709628135,26101294.290371865
27453000.0,27798000.0,27426000.0,27737000.0,478.63001641,27365800.0,41.482836523675466,,,29533312.81774473,26162387.18225527
27722000.0,27791000.0,27422000.0,27492000.0,743.54925276,27469400.0,38.43850932838818,,,29294419.618730962,26214180.381269038
27490000.0,27581000.0,27330000.0,27442000.0,482.07018273,27493400.0,37.828369869802614,,,29105130.816711657,26245369.183288343
27430000.0,27600000.0,27420000.0,27518000.0,469.54239034,27528400.0,39.4028707112918,,,28868350.81355107,26323949.18644893
